АБАЖУР 	Колпак для лампы, светильника
ЗНАХАРЬ 	Лекарь-самоучка, действующий собственными примитивными способами, часто с колдовскими приемами
ЗНАЧИМОСТЬ 	То же, что значение
ЗНАЧОК 	Пластинка, кружок, плоская фигурка с какими-н. изображениями, носимые на груди как памятный или отличительный знак или как знак принадлежности к какой-н. организации
ЗНОИ 	Сильная жара от нагретого солнцем воздуха
ЗОБ 	У птиц, насекомых, моллюсков: расширенная часть пищевода, где накапливается и предварительно обрабатывается пища
ЗОДИАК 	Пояс неба, по к-рому Солнце совершает свое видимое годовое движение
ЗОДЧИИ 	То же, что архитектор
ЗОЛА 	Остаток от сжигания чего-н. в виде серо-черной пыли
ЗОЛОВКА 	Сестра мужа
ЗОЛОТОИСКАТЕЛЬ 	Человек, к-рый занимается поисками и разработкой золотых месторождений, россыпей
ЗОЛОТОПРОМЫШЛЕННИК 	Работник золотопромышленности
ЗОЛОТОПРОМЫШЛЕННОСТЬ 	Золотодобывающая промышленность
ЗОЛОТОТЫСЯЧНИК 	Травянистое растение с розовыми цветками. 3. зомпич-ный (лекарственное растение)
ЗОЛОТУХА 	Старое название одной из форм диатеза
ЗООГЕОГРАФИЯ 	Наука о геогра-фическом распространении животных
ЗООЛОГИЯ 	Наука о животных
ЗООПАРК 	Сокращение: зоологический парк
ЗООСАД 	Сокращение: зоологический сад
ЗООТЕХНИК 	Специалист по зоотехнии
ЗООТЕХНИКА 	То же, что зоотехния
ЗООТЕХНИЯ 	Наука о разведении, содержании и использовании сельскохозяйственных животных
ЗРАЗЫ 	Мясные котлеты с начинкой. 3. с рисом
ЗРАЧОК 	Отверстие в радужной оболочке глаза, через к-рое в глаз проникают световые лучи
ЗРЕЛИЩЕ 	То, что представляется взору, привлекает взор (явление, происшествие, пейзаж)
ЗРЕЛОСТЬ 	Возраст между молодостью и старостью; период жизни в таком возрасте
ЗРЕНИЕ 	Одно из внешних чувств человека и животного, органом к-рого является глаз; способность видеть
ЗРИТЕЛЬ 	Тот, кто наблюдает происходящее со стороны (устар.). 3. происшествия
ЗУБ 	Костное образование, орган во рту для схватывания, откусывания и разжевыва-ния пищи
ЗУБАТКА 	Морская рыба, родственная окуню
ЗУБИЛО 	Клиновидный инструмент, по к-рому ударяют, рубя металл, обрабатывая камень
ЗУБОВРАЧЕВАНИЕ 	Лечение зубных болезней
ЗУБОК 	Режущий зубец машины, инструмента (спец.)
ЗУБОТЫЧИНА 	Удар кулаком по зубам
ЗУБОЧИСТКА 	Заостренная палочка для удаления остатков пищи, застрявших между зубами
ЗУБР 	Крупный дикий лесной бык, сходный с бизоном
ЗУБРОБИЗОН 	Гибрид зубра с бизоном
ЗУБРОВКА 	Луговой и лесной злак
ЗУБЧАТКА 	Зубчатое колесо
ЗУД 	Ощущение болезненно-щекочущего раздражения кожи. 3. от укусов мошкары
ЗУДА 	Надоедливый человек, тот, кто зудит, докучает
ЗУРНА 	Восточный духовой язычковый музыкальный инструмент
ЗЫБКА 	Подвесная колыбель, люлька1
ЗЫБУН 	Зыбучая почва, трясинное, зыбучее место. 3. на болоте
ЗЫБЬ 	Легкая рябь на водной поверхности, а также слабое волнообразное колебание верхушек растений на большом пространстве. 3. на озере
ЗЫК 	Отрывистый резкий звук, окрик
ЗЫРЯНЕ 	Прежнее название народа коми
ЗЮЗЯ 	Зюзя зюзей пришел домой
ЗЯБЛИК 	Небольшая лесная Певчая птица сем. вьюрковых с красноватыми перьями по бокам
ЗЯБЬ 	Поле, вспаханное с осени для посева яровых
ИБИС 	Птица южных стран отряда голенастых с оголенными местами на голове и горле
ИВА 	Кустарник или дерево с гибкими ветвями и узкими листьями
ИВАН-ДА-МАРЬЯ 	Травянистое растение с желтыми цветками и фиолетовыми листками
ИВАН-ЧАИ 	Крупное травянистое растение сем. кипрейных с пурпурно-розовыми цветками
ИВОЛГА 	Певчая птичка из отряда воробьиных
ИВРИТ 	Современная модификация древнееврейского языка, официальный язык Государства Израиль
ИВУЛЬ 	Седьмой месяц календарного года
ИГЛА 	Швей-ная принадлежность заостренный металлический стержень с ушком для вдевания нити
ИГЛОДЕРЖАТЕЛЬ 	Приспособление для закрепления иглы
ИГЛОКОЖИЕ 	Морские беспозвоночные животные с иглообразными выростами на известковом наружном скелете
ИГЛОТЕРАПИЯ 	Лечение уколами специальных игл в определенные точки тела
ИГЛОУКАЛЫВАНИЕ 	Лечение или обезболивание уколами специальных игл в определенные точки тела
ИГО 	Угнетающая, порабощающая сила
ИГОЛКА 	То же, что игла
ИГОЛЬНИК 	Подушечка или футлярчик для хранения швейных игл
ИГРЕК 	В математике: обозначение (латинской буквой "у") неизвестной или переменной величины
ИГРЕЦ 	Тот, кто играет, умеет играть на музыкальном инструменте
ИГРИЩЕ 	Праздничное собрание молодежи с песнями и плясками
ИГРОК 	Участник игры
ИГРУН 	Тот, кто любит играть и резвиться
ИГРУШКА 	Вещь, служащая для игры (.
ИГУМЕН 	Настоятель православного монастыря
ИГУМЕНЬЯ 	Настоятельница православного монастыря
ИДАЛЬГО 	В средневековой Испании: рыцарь
ИДЕАЛ 	То, что составляет высшую цель деятельности, стремлений
ИДЕАЛИЗМ 	Философское направление, утверждающее, в противоположность материализму, первичность духа, сознания и вторичность материи, идеальность мира и зависимость его существования от сознания людей
ИДЕОГРАММА 	Письменный знак - условное изображение или рисунок, выражающий целое понятие
ИДЕОЛОГ 	Выразитель и защитник идеологии какого-н. общестаенного класса, общественно-политического строя, направления
ИДЕОЛОГИЯ 	Система взглядов, идей, характеризующих какую-н. социальную группу, класс, политическую партию, общество, II прил. идеологический, -ая, -ое
ИДЕЯ 	Сложное понятие, представление, отражающее обобщение опыта и выражающее отношение к действительности
ИДИЛЛИЯ 	Поэтическое произ-ведение, изображающее добродетельную безмятежную жизнь на лоне природы
ИДИОМА 	В языкознании: оборот речи, значение к-рого не определяется отдельными значениями входящих в него слов, напр. бить баклуши, точить лясы
ИДИОМАТИКА 	В языкознании: учение об идиомах, а также совокупность идиом какого-н. языка
ИДИОСИНКРАЗИЯ 	Повышенная болезненная чувствительность организма к определенным веществам или воздействиям
ИДИОТ 	Человек, к-рый страдает врожденным слабоумием
ИДИШ 	Бытовой и литературный язык германских по происхождению евреев
ИДОЛ 	У первобытных народов: фигура человека или животного, к-рой поклоняются как божеству
ИДОЛОПОКЛОННИК 	Тот, кто поклоняется идолам
ИЕГОВИСТ 	Протестантская секта "Свидетели Иеговы", признающая Иисуса Христа порождением Иеговы и исполнителем его воли
ИЕЗУИТ 	Католический монах, член "Общества Иисуса" - одной из реакционных воинствующих организаций католической церкви
ИЕЗУИТСТВО 	Лицемерие, коварное двуличие
ИЕМЕНЦЫ 	Основное население Йемена
ИЕНА 	Денежная единица в Японии
ИЕРАРХ 	Лицо, относящееся к высшей церковной иерархии
ИЕРАРХИЯ 	Порядок подчинения низших (чинов, должностей) высшим; вообще расположение от низшего к высшему или от высшего к низшему
ИЕРЕИ 	В православной церкви: священник
ИЕРОГЛИФ 	Фигурный знак в идеографическом письме (в древнеегипетском, китайском и нек-рых других)
ИЕРОМОНАХ 	Монах-священник
ИЖДИВЕНИЕ 	Обеспечение неработающего (как правило, неработоспособного: больного, престарелого, несовершеннолетнего) средствами, необходимыми для существования
ИЖДИВЕНСТВО 	Состояние на чьем-н. иждивении
ИЖДИВЕНЧЕСТВО 	Стремление во всем рассчитывать не на свои силы, а на помощь других, вообще жить за чужой счет
ИЖИЦА 	Название последней буквы циерковнославянской и старой русской азбуки (V), обозначавшей звук "и"
ИЗБА 	Деревянный крестьянский дом
ИЗБАВИТЕЛЬ 	Тот, кто избавляет, избавил кого-что-н. от кого-чего-н
ИЗБАЧ 	Работник избы-читальни
ИЗБИЕНИЕ 	Массовое убийство
ИЗБОРНИК 	Древнерусский рукописный сборник статей, отрывков из разных книг, рукописная антология
ИЗБРАННИК 	Тот, кто избран кем-н
ИЗБЫТОК 	То же, что излишек
ИЗВАЯНИЕ 	Скульптурное изображение, статуя
ИЗВЕРГ 	Жестокий человек, мучитель
ИЗВЕСТИЕ 	Сообщение о чем-н
ИЗВЕСТКА 	Раствор извести (для побелки, штукатурки)
ИЗВЕСТНЯК 	Осадочная горная порода, состоящая преимущ. из известкового шпата
ИЗВЕСТЬ 	Оксид кальция, белое вещество, продукт обжига известняка
ИЗВЕЩЕНИЕ 	Сообщение, уведомление
ИЗВИВ 	То же, что извилина
ИЗВИЛИНА 	Волнистое искривление, изгиб
ИЗВИНЕНИЕ 	Основание для оправдания
ИЗВЛЕЧЕНИЕ 	Выдержка, выписка из какого-н. текста (книжн.)
ИЗВОД 	В филологии: разновидность текста рукописного памятника, устанавливаемая на основании особенностей языка
ИЗВОЗЧИК 	Кучер наемного экипажа, повозки
ИЗВОЛЕНИЕ 	Воля, желание
ИЗВОРОТ 	Поворот, извилина, изгиб
ИЗВРАЩЕНИЕ 	Противоестественное поведение, ненормальность
ИЗГИБ 	Дугообразное искривление
ИЗГНАНИЕ 	Вынужденное пребывание где-н. в качестве изгнанника (книжн.) Жить в изгнании
ИЗГОЛОВЬЕ 	Место на постели, куда ложатся головой
ИЗГОРОДЬ 	Ограда из жердей, прутьев, штакетника
ИЗДАНИЕ 	Изданное произведение печати
ИЗДАТЕЛЬ 	Специалист по изданию произведений печати, тот, кто их издает или руководит издательством
ИЗДАТЕЛЬСТВО 	Учреждение, издающее произведения печати
ИЗДЕВАТЕЛЬ 	Тот, кому доставляет удовольствие издеваться над кем-н
ИЗДЕВКА 	То же, что издевательство
ИЗДЕЛИЕ 	Выделка, производство
ИЗДОЛЬЩИК 	Земледелец, платящий за аренду земли долей урожая
ИЗДОЛЬЩИНА 	Аренда земли издольщиком
ИЗЖОГА 	Ощущение жжения в пищеводе
ИЗЛЕТ 	Конечный момент полета летящего тела перед падением
ИЗЛИШЕК 	То, что остается лишним, сверх нужного, остаток
ИЗЛИШЕСТВО 	Употребление чего-н. сверх меры, потребности
ИЗЛИЯНИЕ 	Откровенное и многословное признание, выражение чувств (обычно ирон.)
ИЗЛОЖЕНИЕ 	То, что изложено, высказано или написано
ИЗЛОЖНИЦА 	Форма, заполняемая расплавленным металлом для получения слитка
ИЗЛОМ 	Место разлома, перелома
ИЗЛУЧИНА 	Крутой поворот, изгиб реки
ИЗМЕНА 	Предательство интересов родины, переход на сторону врага
ИЗМЕНЕНИЕ 	Поправка, перемена, изменяющая что-н. прежнее
ИЗМЕННИК 	Тот, кто совершил измену, предательство
ИЗМЕРЕНИЕ 	Протяженность измеряемой величины в каком-н. направлении (спец.)
ИЗМЕРИТЕЛЬ 	Прибор, инструмент для измерения чего-н
ИЗМОЖДЕНИЕ 	Состояние крайнего истощения, изнурения
ИЗМОРОЗЬ 	Род инея - рыхлый снежный покров, образующийся из оседающих частиц влаги при морозе, тумане
ИЗМОРОСЬ 	Очень мелкий, моросящий дождь
ИЗМЫВАТЕЛЬСТВО 	Издевательство" глумление
ИЗНАНКА 	Внутренняя сторона ткани, одежды
ИЗНАШИВАЕМОСТЬ 	Подверженность износу
ИЗНЕМОЖЕНИЕ 	Состояние полной усталости, бессилия
ИЗОБАРА 	Линия на графике, соединяющая места одинакового атмосферного давления
ИЗОБИЛИЕ 	Полное обилие
ИЗОБЛИЧИТЕЛЬ 	Тот, кто изобличил, изобличает кого-что-н., уличил, уличает кого-н. в чем-н
ИЗОБРАЖЕНИЕ 	Предмет, рисунок, изображающий кого-что-н.; зрительное воспроизведение чего-н
ИЗОБРЕТАТЕЛЬ 	Тот, кто изобрел, изобретает что-н
ИЗОБРЕТАТЕЛЬСТВО 	Деятельность изобретателя, изобретателей
ИЗОБРЕТЕНИЕ 	То, что изобретено, создано изобретателем
ИЗОЛЯТОР 	То же, что диэлектрик, а также вещество, плохо проводящее тепло (спец.)
ИЗОЛЯЦИОНИЗМ 	Политика государственной замкнутости, отказа от участия в разрешении международных конфликтов
ИЗОМОРФИЗМ 	Сходство свойств элементов или их совокупнос-тей, определяющее их способность замещать друг друга в каких-и. соединениях; соответствие объектов, тождественных по своей структуре
ИЗОТЕРМА 	Линия на графике, соединяющая места с одинаковой температурой
ИЗОТЕРМИЯ 	Постоянство температуры
ИЗОТОП 	Атом химического элемента, отличающийся от другого атома того же элемента своей массой
ИЗРАЗЕЦ 	Плитка из обожженной глины для облицовки стен, печей, обычно покрытая с лицевой стороны глазурью, кафель
ИЗРАИЛЬТЯНЕ 	Население Израиля
ИЗРЕЧЕНИЕ 	Кратко изложенная мысль, афоризм
ИЗУВЕР 	Человек, доходящий до крайней, дикой жестокости [первонач. из религиозной нетерпимости]
ИЗУВЕРСТВО 	Изуверский поступок, жестокость
ИЗУМЛЕНИЕ 	Крайнее удивление
ИЗУМРУД 	Прозрачный драгоценный камень густого зеленого цвета
ИЗЪЯТИЕ 	Исключение из чего-н., отступление от чего-н
ИЗЫСКАНИЕ 	Предварительное исследование, разыскание для создания каких-н. проектов, разработок
ИЗЫСКАТЕЛЬ 	Специалист, занимающийся изысканиями
ИЗЮМ 	Сушеные ягоды винограда.Кекс с изюмом. -* Не фунт изюму (разг. шута.) - не пустяк, не шутка
ИЗЮМИНА 	Одна ягода изюма
ИЗЮМИНКА 	Своеобразная прелесть, острота
ИЗЯЩЕСТВО 	Тонкая и строгая художественная соразмерность и красота
ИКОНА 	У православных и католиков: предмет поклонения живописное изображение Бога, святого или святых, образ2
ИКОНОГРАФИЯ 	Описание и изучение изображений каких-н. лиц в произведениях живописи, скульптуры, а также описание сюжетов
ИКОНОПИСЕЦ 	Художник, пишущий иконы
ИКОНОПИСЬ 	Вид религиозной живописи - писание икон
ИКОНОСТАС 	Покрытая иконами стена, отделяющая алтарь в православном храме
ИКОТА 	Отрывистые непроизвольные звуки, издаваемые при икании
ИКРИНКА 	Одно зернышко икры(в 1 и 2 знач.)
ИКРЫ 	Округлые мышцы на голени человека
ИЛ 	Вязкий осадок из минеральных или органических веществ на дне водоема
ИЛЛЮЗИЯ 	Обман чувств, нечто кажущееся; болезненное состояние - ошибочное восприятие предметов, явлений (спец.)
ИЛЛЮМИНАТОР 	Герметически закрывающееся окно (на корабле, глубоководном или летательном аппарате)
ИЛЛЮМИНАЦИЯ 	Декоративное освещение зданий, улиц, парков по случаю какого-н. торжества
ИЛЛЮСТРАТОР 	Художник, иллюстрирующий книги
ИЛЛЮСТРАЦИЯ 	Рисунок, иллюстрирующий текст
ИЛЬМ 	Лиственное дерево с прочной древесиной, род вяза
ИМАЖИНИЗМ 	Направление в русской литературе начала 20 в., первонач. опиравшееся на поэтику раннего футуризма и утверждавшее, что цель творчества состоит в создании самоценных словесных образов
ИМАЖИНИСТ 	Последователь имажинизма
ИМАМ 	Глава мусульманской общины
ИМБИРЬ 	Пряность из корневища тропического травянистого растения, а также само это растение, богатое эфирными маслами
ИМЕНИЕ 	Поместье, земельное владение
ИМИДЖ 	Представление о чьем-н. внутреннем облике, образе
ИМИТАТОР 	Человек, к-рый умеет имитировать кого-что-н
ИМИТАЦИЯ 	Подделка подо чго-н
ИММИГРАНТ 	Человек, к-рый иммигрировал куда-н
ИММУНОЛОГ 	Врач - специалист по иммунологии
ИММУНОЛОГИЯ 	Раздел медицины - наука о невосприимчивости организма к инфекционным заболеваниям, о его защитных реакциях
ИМПЕРИАЛИЗМ 	Высшая стадия капитализма, характеризующаяся господством крупных монополий во всех сферах жизни, борьбой между капиталистическими странами за источники сырья и рынки сбыта, за чужие территории
ИМПЕРИАЛИСТ 	Крупный капиталист или буржуазный политический деятель эпохи империализма
ИМПЕРИЯ 	Монархическое государство во главе с императором; вообще государство, состоящее из территорий, лишенных экономической и политической самостоятельности и управляемых из единого центра
ИМПИЧМЕНТ 	Процедура лишения полномочий высших должностных лиц, допустивших грубое нарушение закона
ИМПОРТ 	Ввоз товаров, капиталов, технологии из-за границы; противоп. экспорт
ИМПОРТЕР 	Лицо или организация, импортирующие что-н
ИМПОТЕНТ 	Человек, к-рый страдает импотенцией
ИМПОТЕНЦИЯ 	Половое бессилие
ИМПРЕСАРИО 	Предприниматель-антрепренер или агент устроитель концертов, зрелищ
ИМПРЕССИОНИЗМ 	Направление в искусстве конца 19 - начала 20 в., стремящееся к непосредственному воспроизведению переживаний, настроений и впечатлений художника
ИМПРОВИЗАЦИЯ 	Импровизированное произведение
ИМУЩЕСТВО 	То, что находится в чьей-н. собственности, принадлежит кому-чему-н
ИМЯ 	Личное название человека, даваемое при рождении, часто вообще личное название живого существа
ИМЯ-ОТЧЕСТВО 	Личное имя вместе с отчеством
ИНАКОМЫСЛИЕ 	Мировосприятие инакомыслящих
ИНВАЛИД 	Человек, к-рый полностью или частично лишен трудоспособности вследствие какой-н. аномалии, ранения, увечья, болезни
ИНВАЛИДНОСТЬ 	Состояние, положение инвалида, нетрудоспособность
ИНВАЛЮТА 	Сокращение: иностранная валюта
ИНВАРИАНТ 	Величина, остающаяся неизменяемой при тех или иных преобразованиях (спец.)
ИНВЕНТАРЬ 	Вещи, предметы, входящие в состав имущества предприятия, учреждения, а также предназначенные для какой-н. определенной цели, работ
ИНВЕРСИЯ 	Изменение нормального положения компонентов, расположение их в обратном порядке
ИНВЕСТИЦИЯ 	Долгосрочные вложения капитала в отдельные отрасли экономики внутри страны и за рубежом (спец.)
ИНГАЛЯЦИЯ 	Лечение вдыханием распыленных лекарственных веществ, паров, насыщенных такими веществами
ИНГУШИ 	Народ, составляющий основное коренное население Ингушетии
ИНДЕИКА 	Крупная домашняя птица сем. куриных, т Судьба-индейка (разг. шутл.) - о незадачливой доле, трудной судьбе
ИНДЕИЦЫ 	Общее название коренных племен и народностей древнего происхождения (за исключением эскимосов и алеутов), населявших до появления европейцев Южную и Северную Америку и сохранившихся там лишь в нек-рых районах
ИНДЕТЕРМИНИЗМ 	Противоположная детерминизму концепция, отвергающая всеобщую закономерность и причинную зависимость и обусловленность в природе и обществе
ИНДИВИД 	То же, что индивидуум
ИНДИВИДУАЛИСТ 	Человек, к-рый проявляет индивидуализм
ИНДИВИДУАЛЬНОСТЬ 	Особенности характера и психического склада, отличающие одного индивидуума от другого
ИНДИВИДУУМ 	Человек как отдельная личность, а также (спец.) вообще отдельный живой организм, особь
ИНДИИЦЫ 	Общее название коренного населения Индии
ИНДИКАТОР 	Прибор (устройство, элемент), отражающий ка-кой-н. процесс, состояние наблюдаемого объекта
ИНДИФФЕРЕНТИЗМ 	Индифферентное отношение к чему-н
ИНДОЕВРОПЕИЦЫ 	Общее название племен - предков современных народов, говорящих на языках индоевропейской семьи
ИНДОЛОГ 	Специалист по индологии
ИНДОЛОГИЯ 	Совокупность наук о культуре Индии
ИНДОНЕЗИИЦЫ 	Общее название народностей и племен, составляющих основное население Индонезии
ИНДУИЗМ 	Распространившаяся в Индии с конца 1 тыс. н. э. одна из крупных религий мира, основанная на вере в перевоплощение душ как воздаяние за добродетели или пороки
ИНДУКТОР 	Электромагнитное устройство, предназначенное для индукционного нагрева, а также небольшая электромагнитная машина, применяемая в телефонной аппаратуре
ИНДУКЦИЯ 	Способ рассуждения от частных фактов, положений к общим выводам; противоп. дедукция (книжн.)
ИНДУЛЬГЕНЦИЯ 	У католиков: отпущение грехов, а также грамота о таком отпущении, выдаваемая за особую плату церковью от имени папы римского
ИНДУС 	Индиец - последователь индуизма
ИНДЮК 	Самец индейки, индейский петух
ИНДЮШКА 	То же, что индейка
ИНДЮШОНОК 	Птенец индюшки
ИНЕИ 	Тонкий слой ледяных кристаллов, образующийся благодаря испарениям на охлаждающейся поверхности
ИНЕРЦИЯ 	Свойство тел сохранять состояние покоя или равномерного прямолинейного движения, пока кака-я-н. внешняя сила не изменит этого состояния
ИНЖЕНЕР 	Специалист с высшим техническим образованием
ИНЖЕНЕРИЯ 	Инженерное дело, творческая техническая деятельность
ИНИЦИАЛЫ 	Первые буквы имени и отчества или имени и фамилии
ИНИЦИАТИВА 	Почин, внутреннее побуждение к новым формам деятельности, предприимчивость
ИНКАССАТОР 	Должностное лицо, принимающее деньги от организаций для сдачи их в банк
ИНКВИЗИТОР 	Судья инквизиции
ИНКИ 	Древнее высококультурное индейское племя, жившее в Южной Америке в бассейне реки Амазонки
ИНКРУСТАТОР 	Художник, занимающийся инкрустацией
ИНКРУСТАЦИЯ 	Украшение, выполненное способом инкрустирования
ИНКУБАТОР 	Специальное устрой- ство для искусственного выведения птен-цов домашних птиц, молоди рыб, гусениц шелкопряда
ИНКУБАТОРИИ 	Помещение, в к-ром размещены инкубаторы
ИНКУБАЦИЯ 	Скрытый период болезни от заражения до появления первых ее признаков
ИНОВЕРЕЦ 	Человек другой веры, иной религии
ИНОЗЕМЕЦ 	Иностранец, чужестранец
ИНОК 	Православный монах
ИНОМАРКА 	Легковой автомобиль зарубежного производства
ИНОПЛАНЕТЯНИН 	Житель иной планеты, не Земли
ИНОПЛЕМЕННИК 	Человек иного племени, народа, иноземец
ИНОРОДЕЦ 	В царской России:.
ИНОСКАЗАНИЕ 	Выражение, содержащее иной, скрытый
ИНОСТРАНЕЦ 	Гражданин какой-н. страны по отношению к другой стране
ИНОХОДЕЦ 	Лошадь, к-рая бегает иноходью
ИНОХОДЬ 	Способ бега лошади (или другого животного), при к-ром одновременно выносятся вперед или обе правые ноги, или обе левые
ИНОЧЕСТВО 	В православии: монашество
ИНСИНУАЦИЯ 	Клеветническое, порочащее кого-н. измышление
ИНСОЛЯЦИЯ 	Освещение солнечными лучами
ИНСПЕКТОР 	Должностное лицо, занятое инспектированием чего-н
ИНСПЕКЦИЯ 	Организация, осуществляющая инспектирование чего-н
ИНСПИРАТОР 	Тот, кто инспирирует что-н
ИНСТАНЦИЯ 	Одна из ступеней в системе подчиненных друг другу органов
ИНСТИНКТ 	Врожденная способность совершать целесообразные действия по непосредственному, безотчетному побуждению
ИНСТИТУТ 	Высшее учебное заведение
ИНСТИТУТКА 	Воспитанница, ученица института
ИНСТРУКТОР 	Должностное лицо, инструктирующее кого-н
ИНСТРУКЦИЯ 	Свод правил, устанавливающих порядок и способ осуществления, выполнения чего-н
ИНСТРУМЕНТ 	Орудие для производства каких-н. работ
ИНСТРУМЕНТАЛИСТ 	Музыкант-исполнитель (но не применительно к пианисту) в противопоставлении певцу
ИНСТРУМЕНТАРИИ 	Совокупность инструментов
ИНСТРУМЕНТОВКА 	Изложение музыкального произведения для исполнения оркестром, камерным ансамблем, а также хором
ИНСУЛИН 	Белковый гормон, вырабатываемый поджелудочной железой, а также препарат этого гормона, используемый как лечебное средство
ИНСУЛЬТ 	Острое нарушение мозгового кровообращения, сопровождающееся расстройством сознания, параличами
ИНСЦЕНИРОВКА 	Инсценированное произведение, представление
ИНСЦЕНИРОВЩИК 	Тот, кто осуществляет инсценировку
ИНТЕЛЛЕКТУАЛ 	Интеллектуальный человек
ИНТЕЛЛИГЕНТ 	Лицо, принадлежащее к интеллигенции; интеллигентный человек
ИНТЕНДАНТ 	Военнослужащий, ведающий делами хозяйственного снабжения и войскового хозяйства
ИНТЕНДАНТСТВО 	Военная организация, ведающая хозяйственным снабжением и войсковым хозяйством
ИНТЕРВАЛ 	Промежуток, расстояние между чем-н.; перерыв
ИНТЕРВЕНТ 	Участник интервенции
ИНТЕРВЕНЦИЯ 	Агрессивное вмешательство одного или нескольких государств, преимущ. вооруженное, во внутренние дела какой-н. страны
ИНТЕРВЬЮ 	Предназначенная для печати (или передачи по радио, телевидению) беседа с каким-н. лицом
ИНТЕРВЬЮЕР 	Тот, кто берет интервью
ИНТЕРЕС 	Особое внимание к че-му-н., желание вникнуть в суть, узнать, понять
ИНТЕРМЕДИЯ 	Комическая пьеска, исполняемая между актами драматического представления
ИНТЕРМЕЦЦО 	Небольшая музыкальная пьеса свободной формы, исполняемая оркестром между отдельными номерами оперы, а также самостоятельная музыкальная пьеса
ИНТЕРН 	Врач, проходящий интернатуру
ИНТЕРНАТ 	Школа, в к-рой учащиеся живут и находятся на частичном государственном обеспечении
ИНТЕРНАТУРА 	Форма после-дипломной специализации молодого врача - его практическая (обычно годичная) работа в клиниках, больницах, дающая ему звание специалиста
ИНТЕРНАЦИОНАЛ 	Крупное международное объединение
ИНТЕРНАЦИОНАЛИЗМ 	Идеология и политика равенства и солидарности всех народов независимо от национальной принадлежности
ИНТЕРНАЦИОНАЛИСТ 	Сторонник интернационализма
ИНТЕРПРЕТАТОР 	Человек, интерпретирующий что-н
ИНТЕРЬЕР 	Внутреннее пространство здания, помещения, а также его устройство, убранство
ИНТОКСИКАЦИЯ 	Отравление организма токсинами
ИНТОНАЦИЯ 	Звуковые средства языка, оформляющие высказывание: тон, тембр, интенсивность и длительность звучания
ИНТРИГА 	Скрытные действия, обычно неблаговидные, для достижения чего-н., происки
ИНТРОДУКЦИЯ 	Короткое вступление в нек-рых музыкальных произведениях
ИНТУИЦИЯ 	Чутье, тонкое понимание, проникновение в самую суть чего-н
ИНТУРИСТ 	Сокращение: иностранный турист
ИНФАНТИЛИЗМ 	Отсталость развития, характеризующаяся сохранением у взрослого физических или психических черт детского возраста (спец.)
ИНФАРКТ 	Прекращение тока крови при спазме артерий, их закупорке, а также возникающий при этом очаг омертвения
ИНФЕКЦИЯ 	Заражение организма болезнетворными микробами
ИНФИНИТИВ 	В грамматике: то же, что неопределенное наклонение глагола
ИНФЛЯЦИЯ 	Чрезмерное (по отношению к государственному золотому запасу) увеличение количества обращающихся в стране бумажных денег, вызывающее их обесценивание
ИНФОРМАТИКА 	Наука об общих свойствах и структуре научной информации, закономерностях ее создания, преобразования, накопления, передачи и использования
ИНФОРМАТОР 	Тот, кто информирует
ИНФОРМАЦИЯ 	Сведения об окружающем мире и протекающих в нем процессах, воспринимаемые человеком или специальным устройством (спец.)
ИНФРАСТРУКТУРА 	Отрасли экономики, научно-технических знаний, социальной жизни, к-рые непосредственно обеспечивают производственные процессы и условия жизнедеятельности общества
ИНФУЗОРИЯ 	Микроскопическое одноклеточное животное с более сложным строением клетки, чем у других простейших
ИНЦИДЕНТ 	Неприятный случай, недоразумение, столкновение
ИНЪЕКЦИЯ 	Введение лекарственного раствора непосредственно под кожу, в мышцу, в вену
ИОГ 	Последователь йога
ИОГА 	В Индии: религиозно-философское учение, разработавшее особую систему приемов и методов самопознания, позволяющего человеку управлять психическими и физиологическими функциями своего организма
ИОГУРТ 	Заквашенное молоко с различными добавками
ИОД 	Химический элемент черно-серого цвета
ИОДОФОРМ 	Обеззараживающее средство - желтые кристаллы с резким запахом
ИОН 	Электрически заряженная частица (атом, группа атомов)
ИОНОСФЕРА 	Верхний слой земной атмосферы, содержащий большое число ионов и свободных электронов
